#,Date-Time (MST),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
413,12/16/2023 08:10:06,-13.83,91.91,-14.88,,,
414,12/16/2023 08:13:06,-13.65,90.28,-14.91,,,
415,12/16/2023 08:16:06,-13.38,89.64,-14.74,,,
416,12/16/2023 08:19:06,-13.14,90.39,-14.40,,,
417,12/16/2023 08:22:06,-12.99,87.51,-14.65,,,
418,12/16/2023 08:25:06,-12.82,88.32,-14.36,,,
419,12/16/2023 08:28:06,-12.66,86.87,-14.41,,,
420,12/16/2023 08:31:06,-12.52,87.63,-14.16,,,
421,12/16/2023 08:34:06,-12.62,86.49,-14.42,,,
422,12/16/2023 08:37:06,-12.52,87.24,-14.22,,,
423,12/16/2023 08:40:06,-12.38,87.20,-14.08,,,
424,12/16/2023 08:43:06,-12.10,87.01,-13.84,,,
425,12/16/2023 08:46:06,-11.67,88.30,-13.23,,,
426,12/16/2023 08:49:06,-11.21,87.12,-12.94,,,
427,12/16/2023 08:52:06,-11.08,85.57,-13.04,,,
428,12/16/2023 08:55:06,-10.90,85.08,-12.93,,,
429,12/16/2023 08:58:06,-10.79,85.06,-12.83,,,
430,12/16/2023 09:01:06,-10.65,83.37,-12.94,,,
